claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
1,46,M,1.0,85,38301,1,1,Rent,80006,12/16/2016,Friday,Local,1,0.0,74,Broker,0,7530.940993000001,9.0,Compact,12885.45235,white,16161.33381,0
3,21,F,0.0,75,30445,0,1,Rent,15021,2/12/2015,Thursday,Highway,1,1.0,79,Online,0,2966.024895,4.0,Large,29429.45218,white,28691.964219999998,0
4,49,F,0.0,87,38923,0,1,Own,20158,12/6/2016,Tuesday,Local,0,0.0,0,Broker,0,6283.888333,3.0,Compact,21701.18195,white,22090.94758,1
5,58,F,1.0,58,40605,1,0,Own,15024,5/5/2016,Thursday,Local,3,0.0,99,Broker,1,6169.747993999999,4.0,Medium,13198.27344,other,38329.581060000004,1
6,38,M,1.0,95,36380,1,0,Rent,50034,10/27/2015,Tuesday,Highway,0,1.0,7,Broker,0,4541.38715,7.0,Medium,38060.21122,gray,25876.56319,0
7,56,F,0.0,72,40240,0,0,Own,50047,11/16/2016,Wednesday,Highway,0,0.0,64,Phone,0,5388.645056,4.0,Medium,17688.204980000002,black,15234.082040000001,1
8,27,M,1.0,80,32952,1,0,Rent,15001,3/14/2015,Saturday,Parking Lot,0,0.0,50,Online,1,8960.072398999999,7.0,Compact,26411.536819999998,red,28994.53868,0
10,40,M,1.0,79,36891,1,1,Own,80016,1/7/2016,Thursday,Local,5,0.0,95,Online,1,13844.3649,8.0,Medium,11355.270129999999,other,34045.83028,0
12,45,F,0.0,86,38069,0,1,Own,15024,3/31/2015,Tuesday,Parking Lot,0,0.0,3,Broker,0,6038.5015140000005,5.0,Compact,49267.97071,black,23206.50804,0
15,31,M,1.0,80,34324,0,1,Rent,85032,9/3/2015,Thursday,Parking Lot,0,0.0,9,Broker,0,5869.9478579999995,5.0,Large,19929.78577,white,37277.7591,0
16,53,F,1.0,76,39699,1,0,Own,15057,5/14/2016,Saturday,Local,0,0.0,19,Broker,0,8201.183031999999,6.0,Medium,24156.55616,blue,14259.725869999998,0
17,59,F,1.0,93,40753,1,1,Own,50033,2/12/2015,Thursday,Local,0,1.0,8,Broker,1,6051.751915,3.0,Large,7697.895045,black,6736.245994,0
19,25,M,1.0,75,32194,1,0,Rent,80003,7/11/2015,Saturday,Parking Lot,1,0.0,99,Online,0,4225.808816,5.0,Large,18676.987530000002,white,5011.824995,0
20,39,F,0.0,35,36635,0,1,Rent,15035,4/20/2015,Monday,Local,0,0.0,98,Phone,1,4650.054155,6.0,Compact,17917.04586,red,13752.12455,1
21,51,M,0.0,75,39322,0,1,Own,85023,6/30/2015,Tuesday,Local,0,0.0,12,Broker,1,6671.129734,5.0,Medium,56012.23142999999,black,15393.233119999999,0
25,47,M,1.0,87,38516,0,0,Rent,15020,8/5/2015,Wednesday,Local,0,0.0,57,Broker,0,6521.146712,4.0,Medium,36074.484769999995,blue,14712.630630000001,1
26,26,M,1.0,83,32592,1,0,Rent,20135,11/11/2015,Wednesday,Parking Lot,0,0.0,81,Phone,1,8782.034073,7.0,Compact,28340.54126,black,25538.26508,0
29,46,M,0.0,81,38293,1,1,Rent,20101,2/19/2016,Friday,Local,0,0.0,50,Broker,1,4559.869785,3.0,Medium,16442.55536,blue,25421.81041,1
30,43,F,1.0,96,37609,0,1,Own,15056,4/23/2016,Saturday,Parking Lot,2,0.0,71,Online,1,6835.285806999999,5.0,Compact,14937.5385,silver,20063.32729,1
31,39,M,0.0,91,36639,1,0,Rent,80003,11/3/2015,Tuesday,Local,0,1.0,57,Broker,1,6466.409413,4.0,Compact,20088.60345,silver,26804.02332,0
32,40,M,0.0,76,36876,0,0,Rent,15024,10/25/2015,Sunday,Parking Lot,0,0.0,28,Online,0,1538.279552,6.0,Medium,26225.83063,silver,21347.75102,0
34,70,M,1.0,90,42499,1,0,Rent,80101,4/24/2015,Friday,Local,0,1.0,59,Broker,0,3411.9432450000004,8.0,Large,22996.25703,other,24842.25389,0
35,24,M,0.0,80,31796,0,1,Rent,50038,4/14/2016,Thursday,Parking Lot,2,0.0,34,Online,1,5037.605111,7.0,Compact,9224.079753,gray,54331.0653,1
36,32,M,1.0,82,34674,1,1,Rent,85040,3/27/2016,Sunday,Highway,0,1.0,1,Broker,1,9507.865265999999,2.0,Compact,19493.52905,red,8507.918045,0
37,50,M,0.0,85,39119,1,0,Rent,80110,8/3/2016,Wednesday,Parking Lot,0,1.0,2,Phone,1,1644.576186,8.0,Compact,38604.018169999996,white,18023.00599,0
38,200,M,1.0,60,52988,1,1,Rent,85020,12/26/2015,Saturday,Highway,0,0.0,85,Phone,1,5782.266662,5.0,Compact,21503.302069999998,other,21437.33521,0
